      QW_SEQ          OBS     CENSORED      MODELED
        3255     0.020000         True     0.000987
        3256     0.020000         True     0.001330
        3064     0.020000         True     0.001599
        3075     0.020000         True     0.001830
        3077     0.020000         True     0.002039
        3078     0.020000         True     0.002232
        3100     0.020000         True     0.002412
        3101     0.020000         True     0.002584
        3102     0.020000         True     0.002748
        3104     0.020000         True     0.002906
        3117     0.020000         True     0.003058
        3119     0.020000         True     0.003207
        3124     0.020000         True     0.003351
        3125     0.020000         True     0.003492
        3126     0.020000         True     0.003631
        3153     0.020000         True     0.003766
        3161     0.020000         True     0.003900
        3162     0.020000         True     0.004031
        3165     0.020000         True     0.004160
        3168     0.020000         True     0.004288
        3213     0.020000         True     0.004414
        3214     0.020000         True     0.004539
        3215     0.020000         True     0.004662
        3225     0.020000         True     0.004784
        3234     0.020000         True     0.004905
        3235     0.020000         True     0.005025
        3645     0.020000         True     0.005144
        3666     0.020000         True     0.005262
        3671     0.020000         True     0.005380
        3678     0.020000         True     0.005496
        3681     0.020000         True     0.005612
        3682     0.020000         True     0.005727
        3691     0.020000         True     0.005842
        3696     0.020000         True     0.005956
        3697     0.020000         True     0.006070
        3714     0.020000         True     0.006183
        3716     0.020000         True     0.006295
        3447     0.020000         True     0.006408
        3470     0.020000         True     0.006519
        3471     0.020000         True     0.006631
        3472     0.020000         True     0.006742
        3479     0.020000         True     0.006853
        3480     0.020000         True     0.006963
        3482     0.020000         True     0.007073
        3483     0.020000         True     0.007183
        3485     0.020000         True     0.007293
        3486     0.020000         True     0.007402
        3488     0.020000         True     0.007511
        3490     0.020000         True     0.007620
        3491     0.020000         True     0.007729
        3492     0.020000         True     0.007838
        3493     0.020000         True     0.007947
        3494     0.020000         True     0.008055
        3495     0.020000         True     0.008163
        3496     0.020000         True     0.008271
        3497     0.020000         True     0.008380
        3498     0.020000         True     0.008488
        3499     0.020000         True     0.008595
        3500     0.020000         True     0.008703
        3501     0.020000         True     0.008811
        3502     0.020000         True     0.008919
        3503     0.020000         True     0.009027
        3504     0.020000         True     0.009134
        3505     0.020000         True     0.009242
        3510     0.020000         True     0.009350
        3511     0.020000         True     0.009457
        3512     0.020000         True     0.009565
        3514     0.020000         True     0.009672
        3515     0.020000         True     0.009780
        3526     0.020000         True     0.009888
        3531     0.020000         True     0.009995
        3532     0.020000         True     0.010103
        3533     0.020000         True     0.010211
        3534     0.020000         True     0.010319
        3535     0.020000         True     0.010427
        3536     0.020000         True     0.010535
        3537     0.020000         True     0.010643
        3538     0.020000         True     0.010751
        3539     0.020000         True     0.010859
        3540     0.020000         True     0.010967
        3541     0.020000         True     0.011075
        3542     0.020000         True     0.011184
        3543     0.020000         True     0.011292
        3552     0.020000         True     0.011401
        3592     0.020000         True     0.011510
        3593     0.020000         True     0.011618
        3605     0.020000         True     0.011727
        3609     0.020000         True     0.011836
        3611     0.020000         True     0.011945
        3613     0.020000         True     0.012055
        3628     0.020000         True     0.012164
        3636     0.020000         True     0.012274
        4117     0.020000         True     0.012383
        3759     0.020000         True     0.012493
        3761     0.020000        False     0.020000
        3762     0.020000        False     0.020000
        3763     0.020000         True     0.012603
        3764     0.020000         True     0.012713
        4458     0.020000         True     0.012823
        4542     0.020000         True     0.012934
        4545     0.020000         True     0.013044
        4198     0.020000         True     0.013155
        4237     0.020000         True     0.013266
        4247     0.020000         True     0.013377
        4255     0.020000         True     0.013488
        4265     0.020000         True     0.013599
        4274     0.020000         True     0.013711
        4278     0.020000         True     0.013823
        4280     0.020000         True     0.013935
        4287     0.020000         True     0.014047
        4288     0.020000         True     0.014159
        4298     0.020000         True     0.014271
        4300     0.020000         True     0.014384
        4310     0.020000         True     0.014497
        4315     0.020000         True     0.014610
        4316     0.020000         True     0.014723
        4317     0.020000         True     0.014837
        4325     0.020000         True     0.014950
        4329     0.020000         True     0.015064
        4445     0.020000         True     0.015178
        4446     0.020000         True     0.015293
        4448     0.020000         True     0.015407
        4942     0.020000         True     0.015522
        4571     0.020000         True     0.015637
        4775     0.020000         True     0.015752
        4777     0.020000         True     0.015867
        4778     0.020000         True     0.015983
        4780     0.020000         True     0.016099
        4781     0.020000         True     0.016215
        4782     0.020000         True     0.016331
        4783     0.020000         True     0.016448
        4804     0.020000         True     0.016565
        4823     0.020000         True     0.016682
        5050     0.020000         True     0.016799
        5053     0.020000         True     0.016917
        5054     0.020000         True     0.017035
        5055     0.020000         True     0.017153
        5056     0.020000         True     0.017271
        3652     0.020126        False     0.020126
        4959     0.020378        False     0.020378
        3484     0.020617        False     0.020617
        4312     0.020800        False     0.020800
        3632     0.020850        False     0.020850
        3066     0.021056        False     0.021056
        4574     0.021100        False     0.021100
        3680     0.021121        False     0.021121
        4956     0.021144        False     0.021144
        4299     0.021408        False     0.021408
        3076     0.021696        False     0.021696
        3713     0.021723        False     0.021723
        4291     0.021828        False     0.021828
        3135     0.022089        False     0.022089
        4318     0.022213        False     0.022213
        3122     0.022549        False     0.022549
        4277     0.022700        False     0.022700
        3224     0.022879        False     0.022879
        5002     0.022996        False     0.022996
        5049     0.023000        False     0.023000
        3627     0.023431        False     0.023431
        4450     0.023524        False     0.023524
        3481     0.023543        False     0.023543
        3474     0.023736        False     0.023736
        3641     0.024055        False     0.024055
        3148     0.024502        False     0.024502
        4283     0.025096        False     0.025096
        3715     0.025422        False     0.025422
        3068     0.025651        False     0.025651
        3598     0.025835        False     0.025835
        4776     0.026000        False     0.026000
        3489     0.026029        False     0.026029
        3138     0.026113        False     0.026113
        3206     0.026182        False     0.026182
        3079     0.026558        False     0.026558
        3527     0.026728        False     0.026728
        3152     0.026789        False     0.026789
        4537     0.026900        False     0.026900
        3072     0.027068        False     0.027068
        4328     0.027081        False     0.027081
        4812     0.027318        False     0.027318
        4460     0.027320        False     0.027320
        4546     0.027800        False     0.027800
        3513     0.027909        False     0.027909
        3525     0.027916        False     0.027916
        3647     0.028535        False     0.028535
        3994     0.028600        False     0.028600
        4266     0.028804        False     0.028804
        3123     0.029017        False     0.029017
        4461     0.029800        False     0.029800
        3139     0.029860        False     0.029860
        4806     0.029885        False     0.029885
        4261     0.029997        False     0.029997
        2887     0.030000        False     0.030000
        2689     0.030000         True     0.006444
        2706     0.030000         True     0.010604
        3328     0.030000        False     0.030000
        3349     0.030000         True     0.014832
        4979     0.030000         True     0.019358
        3074     0.030192        False     0.030192
        3127     0.030342        False     0.030342
        3579     0.030418        False     0.030418
        3098     0.030548        False     0.030548
        4442     0.030610        False     0.030610
        4449     0.030685        False     0.030685
        3633     0.030719        False     0.030719
        4240     0.030720        False     0.030720
        3658     0.031289        False     0.031289
        3704     0.031606        False     0.031606
        3604     0.031721        False     0.031721
        3252     0.031849        False     0.031849
        4965     0.031882        False     0.031882
        4456     0.032138        False     0.032138
        4802     0.032203        False     0.032203
        4444     0.032498        False     0.032498
        3203     0.032507        False     0.032507
        3880     0.032600        False     0.032600
        3711     0.033070        False     0.033070
        3590     0.033227        False     0.033227
        4789     0.033289        False     0.033289
        3063     0.033454        False     0.033454
        3071     0.033480        False     0.033480
        3679     0.033606        False     0.033606
        3096     0.033636        False     0.033636
        3583     0.033650        False     0.033650
        3577     0.033730        False     0.033730
        4320     0.033774        False     0.033774
        3120     0.033822        False     0.033822
        3069     0.033891        False     0.033891
        5052     0.034000        False     0.034000
        4293     0.034245        False     0.034245
        4971     0.034318        False     0.034318
        3509     0.034641        False     0.034641
        3070     0.034661        False     0.034661
        3204     0.034695        False     0.034695
        4814     0.034710        False     0.034710
        4238     0.034744        False     0.034744
        3580     0.034789        False     0.034789
        3226     0.034968        False     0.034968
        3650     0.034980        False     0.034980
        3706     0.035116        False     0.035116
        4818     0.035167        False     0.035167
        4828     0.035322        False     0.035322
        3149     0.035645        False     0.035645
        4088     0.035857        False     0.035857
        3646     0.035958        False     0.035958
        3159     0.036084        False     0.036084
        3469     0.036112        False     0.036112
        4807     0.036788        False     0.036788
        3760     0.037000         True     0.011046
        5047     0.037000         True     0.020375
        4451     0.037033        False     0.037033
        3656     0.037260        False     0.037260
        4827     0.037263        False     0.037263
        3160     0.037390        False     0.037390
        3253     0.037458        False     0.037458
        3698     0.037491        False     0.037491
        3700     0.037643        False     0.037643
        3648     0.037670        False     0.037670
        4249     0.037748        False     0.037748
        3712     0.037930        False     0.037930
        3137     0.038027        False     0.038027
        3653     0.038083        False     0.038083
        3657     0.038748        False     0.038748
        3507     0.038899        False     0.038899
        3642     0.038899        False     0.038899
        4586     0.038900        False     0.038900
        3251     0.039064        False     0.039064
        4543     0.039200        False     0.039200
        3448     0.039365        False     0.039365
        4296     0.039400        False     0.039400
