QW_SEQ,CEN,P_HG
3979,TRUE,0.0549
4186,TRUE,0.055
4188,TRUE,0.055
3671,TRUE,0.0578
4137,TRUE,0.059
4782,TRUE,0.0592
3541,TRUE,0.0593
3497,TRUE,0.0608
3496,TRUE,0.0614
4168,TRUE,0.0616
4780,TRUE,0.0616
4136,TRUE,0.062
3543,TRUE,0.0621
3504,TRUE,0.0625
3542,TRUE,0.0625
3538,TRUE,0.0626
4779,TRUE,0.0629
3503,TRUE,0.0639
3485,TRUE,0.064
4778,FALSE,0.0648
4474,TRUE,0.065
4184,FALSE,0.065
3494,FALSE,0.0656
3505,FALSE,0.0659
3486,TRUE,0.066
3732,TRUE,0.067
3537,TRUE,0.0682
3533,FALSE,0.0698
4942,FALSE,0.0706
4781,TRUE,0.0725
3850,FALSE,0.076
4185,FALSE,0.076
3491,FALSE,0.0763
3495,FALSE,0.077
3480,FALSE,0.0818
4777,FALSE,0.082
3540,FALSE,0.0849
3481,FALSE,0.0925
3539,FALSE,0.0946
3535,FALSE,0.096
3534,FALSE,0.0968
3456,TRUE,0.0976
3169,TRUE,0.1
3170,TRUE,0.1
3171,TRUE,0.1
3172,TRUE,0.1
3196,TRUE,0.1
3430,TRUE,0.1
5239,FALSE,0.1012
3531,FALSE,0.1081
5128,FALSE,0.1081
5126,FALSE,0.1102
3525,FALSE,0.1107
3482,FALSE,0.1108
3717,FALSE,0.112
3526,FALSE,0.1134
5138,FALSE,0.1179
3500,FALSE,0.1187
3489,FALSE,0.1194
3483,FALSE,0.1225
3488,FALSE,0.1239
5186,FALSE,0.124
3490,FALSE,0.1254
3492,FALSE,0.1255
3532,FALSE,0.1257
3484,FALSE,0.1269
3493,FALSE,0.127
3806,FALSE,0.128
3479,FALSE,0.1296
5215,FALSE,0.1313
5212,FALSE,0.1326
4023,FALSE,0.137
3174,FALSE,0.14
5137,FALSE,0.1428
3655,FALSE,0.1579
4802,FALSE,0.1598
5135,FALSE,0.1614
5206,FALSE,0.167
3719,FALSE,0.175
4076,FALSE,0.175
5136,FALSE,0.175
4113,FALSE,0.1775
4129,FALSE,0.179
3487,FALSE,0.1801
3536,FALSE,0.1825
3629,FALSE,0.1839
4187,FALSE,0.184
4150,FALSE,0.187
4327,FALSE,0.189
5213,FALSE,0.1891
4090,FALSE,0.1917
3720,FALSE,0.193
4085,FALSE,0.1931
4121,FALSE,0.197
4481,FALSE,0.202
4304,FALSE,0.205
5156,FALSE,0.2069
3842,FALSE,0.2073
3523,FALSE,0.2079
5196,FALSE,0.209
3665,FALSE,0.2106
5211,FALSE,0.213
3596,FALSE,0.2141
4158,FALSE,0.215
4098,FALSE,0.2154
3609,FALSE,0.2158
3781,FALSE,0.2162
5127,FALSE,0.2166
5264,FALSE,0.2177
3733,FALSE,0.218
3804,FALSE,0.218
4111,FALSE,0.2201
3524,FALSE,0.2206
4320,FALSE,0.221
4013,FALSE,0.222
3843,FALSE,0.222
3998,FALSE,0.226
3626,FALSE,0.2267
3802,FALSE,0.227
4095,FALSE,0.2297
3431,FALSE,0.23
3628,FALSE,0.2305
3783,FALSE,0.2365
3498,FALSE,0.2382
3466,FALSE,0.2399
3176,FALSE,0.24
3433,FALSE,0.24
4127,FALSE,0.241
4094,FALSE,0.2448
4196,FALSE,0.246
3670,FALSE,0.2469
3829,FALSE,0.247
4480,FALSE,0.247
4241,FALSE,0.2499
3454,FALSE,0.2509
4130,FALSE,0.252
4149,FALSE,0.2539
3449,FALSE,0.2542
4197,FALSE,0.255
3627,FALSE,0.2571
3780,FALSE,0.259
4160,FALSE,0.259
4774,FALSE,0.259
3186,FALSE,0.26
4152,FALSE,0.26
3739,FALSE,0.2623
4012,FALSE,0.265
5188,FALSE,0.265
4119,FALSE,0.2677
3502,FALSE,0.2714
3801,FALSE,0.272
4274,FALSE,0.272
4166,FALSE,0.273
4586,FALSE,0.274
5195,FALSE,0.2742
4100,FALSE,0.2748
3696,FALSE,0.2759
4097,FALSE,0.2772
4537,FALSE,0.281
3178,FALSE,0.283
3656,FALSE,0.289
3828,FALSE,0.2893
4960,FALSE,0.2926
3667,FALSE,0.2954
3785,FALSE,0.2958
3831,FALSE,0.296
3994,FALSE,0.297
4030,FALSE,0.299
4198,FALSE,0.3
4324,FALSE,0.301
3527,FALSE,0.3026
4086,FALSE,0.3039
4107,FALSE,0.304
3654,FALSE,0.3049
4326,FALSE,0.305
5010,FALSE,0.305
4092,FALSE,0.3066
3840,FALSE,0.307
3625,FALSE,0.3076
3597,FALSE,0.3098
3605,FALSE,0.3117
3557,FALSE,0.3145
3662,FALSE,0.3154
5214,FALSE,0.3181
3809,FALSE,0.319
3882,FALSE,0.319
4202,FALSE,0.319
3424,FALSE,0.32
3814,FALSE,0.32
4021,FALSE,0.322
3478,FALSE,0.3227
5202,FALSE,0.3253
3592,FALSE,0.3263
4018,FALSE,0.327
3611,FALSE,0.3271
5238,FALSE,0.3271
4125,FALSE,0.329
4117,FALSE,0.3308
3714,FALSE,0.3309
3808,FALSE,0.331
3844,FALSE,0.333
3835,FALSE,0.334
3465,FALSE,0.3345
3595,FALSE,0.3359
4087,FALSE,0.3365
3584,FALSE,0.337
3792,FALSE,0.3375
3799,FALSE,0.338
3650,FALSE,0.3391
4770,FALSE,0.345
3813,FALSE,0.346
3836,FALSE,0.346
3658,FALSE,0.3462
3849,FALSE,0.3473
4822,FALSE,0.348
3183,FALSE,0.35
3423,FALSE,0.35
4308,FALSE,0.35
4115,FALSE,0.3519
3583,FALSE,0.353
3789,FALSE,0.3536
5237,FALSE,0.3542
3694,FALSE,0.3571
3668,FALSE,0.3575
3690,FALSE,0.3577
3610,FALSE,0.3584
5201,FALSE,0.359
3441,FALSE,0.36
4053,FALSE,0.363
4315,FALSE,0.363
5261,FALSE,0.3641
5129,FALSE,0.3643
5142,FALSE,0.366
3558,FALSE,0.3696
3187,FALSE,0.37
4151,FALSE,0.372
3848,FALSE,0.372
5133,FALSE,0.3759
4536,FALSE,0.376
4126,FALSE,0.379
3191,FALSE,0.38
3420,FALSE,0.38
3812,FALSE,0.38
4004,FALSE,0.382
4009,FALSE,0.3825
3786,FALSE,0.3825
3467,FALSE,0.383
3795,FALSE,0.393
4055,FALSE,0.395
3838,FALSE,0.395
3544,FALSE,0.3954
5241,FALSE,0.3954
3818,FALSE,0.397
3845,FALSE,0.397
4576,FALSE,0.397
4022,FALSE,0.398
3710,FALSE,0.3987
3669,FALSE,0.4
4250,FALSE,0.4003
5189,FALSE,0.4004
3873,FALSE,0.403
3508,FALSE,0.4058
3606,FALSE,0.4058
5256,FALSE,0.4059
3794,FALSE,0.408
3561,FALSE,0.4088
3438,FALSE,0.41
4771,FALSE,0.4112
5194,FALSE,0.4132
5192,FALSE,0.4134
4772,FALSE,0.4149
4200,FALSE,0.416
4162,FALSE,0.417
5253,FALSE,0.4175
3631,FALSE,0.4179
3702,FALSE,0.4186
5193,FALSE,0.4232
3993,FALSE,0.424
3470,FALSE,0.4242
3793,FALSE,0.426
3693,FALSE,0.43
3563,FALSE,0.4309
