      QW_SEQ          OBS     CENSORED      MODELED
        3979     0.054900         True     0.055177
        4186     0.055000         True     0.045729
        4188     0.055000         True     0.063457
        3671     0.057800         True     0.055177
        4137     0.059000         True     0.055177
        4782     0.059200         True     0.055177
        3541     0.059300         True     0.055177
        3497     0.060800         True     0.055177
        3496     0.061400         True     0.055177
        4168     0.061600         True     0.045729
        4780     0.061600         True     0.063457
        4136     0.062000         True     0.055177
        3543     0.062100         True     0.055177
        3504     0.062500         True     0.045729
        3542     0.062500         True     0.063457
        3538     0.062600         True     0.055177
        4779     0.062900         True     0.055177
        3503     0.063900         True     0.055177
        3485     0.064000         True     0.055177
        4778     0.064800        False     0.064800
        4474     0.065000         True     0.056545
        4184     0.065000        False     0.065000
        3494     0.065600        False     0.065600
        3505     0.065900        False     0.065900
        3486     0.066000         True     0.060154
        3732     0.067000         True     0.060154
        3537     0.068200         True     0.060154
        3533     0.069800        False     0.069800
        4942     0.070600        False     0.070600
        4781     0.072500         True     0.062302
        3850     0.076000        False     0.076000
        4185     0.076000        False     0.076000
        3491     0.076300        False     0.076300
        3495     0.077000        False     0.077000
        3480     0.081800        False     0.081800
        4777     0.082000        False     0.082000
        3540     0.084900        False     0.084900
        3481     0.092500        False     0.092500
        3539     0.094600        False     0.094600
        3535     0.096000        False     0.096000
        3534     0.096800        False     0.096800
        3456     0.097600         True     0.072964
        3169     0.100000         True     0.040315
        3170     0.100000         True     0.055265
        3171     0.100000         True     0.067427
        3172     0.100000         True     0.078253
        3196     0.100000         True     0.088284
        3430     0.100000         True     0.097789
        5239     0.101200        False     0.101200
        3531     0.108100        False     0.108100
        5128     0.108100        False     0.108100
        5126     0.110200        False     0.110200
        3525     0.110700        False     0.110700
        3482     0.110800        False     0.110800
        3717     0.112000        False     0.112000
        3526     0.113400        False     0.113400
        5138     0.117900        False     0.117900
        3500     0.118700        False     0.118700
        3489     0.119400        False     0.119400
        3483     0.122500        False     0.122500
        3488     0.123900        False     0.123900
        5186     0.124000        False     0.124000
        3490     0.125400        False     0.125400
        3492     0.125500        False     0.125500
        3532     0.125700        False     0.125700
        3484     0.126900        False     0.126900
        3493     0.127000        False     0.127000
        3806     0.128000        False     0.128000
        3479     0.129600        False     0.129600
