QW_SEQ,CEN,P_MEHG
5266,TRUE,0.008
3655,TRUE,0.0082
4772,TRUE,0.0083
5196,TRUE,0.0083
4100,TRUE,0.0085
5206,TRUE,0.0086
3732,TRUE,0.0087
3485,TRUE,0.0087
3491,TRUE,0.0087
4092,TRUE,0.0088
4113,TRUE,0.0089
4771,TRUE,0.0089
5186,TRUE,0.0089
3533,TRUE,0.009
3541,TRUE,0.009
4480,TRUE,0.009
5203,TRUE,0.009
3781,TRUE,0.0091
4119,FALSE,0.0092
3496,TRUE,0.0093
3498,TRUE,0.0093
4098,FALSE,0.0093
5215,TRUE,0.0093
3487,TRUE,0.0094
4095,TRUE,0.0094
4090,TRUE,0.0095
4777,TRUE,0.0095
4782,TRUE,0.0095
3671,TRUE,0.0096
3480,TRUE,0.0096
3502,TRUE,0.0096
3536,TRUE,0.0096
3789,FALSE,0.0096
4778,TRUE,0.0096
3488,TRUE,0.0097
3497,TRUE,0.0097
3538,TRUE,0.0097
3539,TRUE,0.0097
3540,TRUE,0.0097
3542,TRUE,0.0097
4087,TRUE,0.0097
4168,TRUE,0.0097
5212,TRUE,0.0097
3466,TRUE,0.0098
3505,TRUE,0.0098
4094,TRUE,0.0098
3641,FALSE,0.0099
3493,TRUE,0.0099
3494,TRUE,0.0099
3783,FALSE,0.0099
4780,TRUE,0.0099
3479,TRUE,0.01
3504,TRUE,0.01
3543,TRUE,0.01
4013,TRUE,0.01
4014,FALSE,0.01
4015,TRUE,0.01
4023,TRUE,0.01
4117,TRUE,0.01
4125,FALSE,0.01
4129,TRUE,0.01
4136,TRUE,0.01
4137,TRUE,0.01
4158,FALSE,0.01
3780,FALSE,0.01
3801,TRUE,0.01
3802,TRUE,0.01
3804,TRUE,0.01
3805,TRUE,0.01
3806,TRUE,0.01
3807,FALSE,0.01
3808,TRUE,0.01
3809,FALSE,0.01
3847,TRUE,0.01
3848,TRUE,0.01
3873,TRUE,0.01
3880,TRUE,0.01
3881,FALSE,0.01
3882,TRUE,0.01
3884,TRUE,0.01
3887,TRUE,0.01
3888,TRUE,0.01
3889,TRUE,0.01
3991,TRUE,0.01
3994,TRUE,0.01
3998,TRUE,0.01
4479,FALSE,0.01
4538,TRUE,0.01
4543,TRUE,0.01
4544,TRUE,0.01
4545,TRUE,0.01
4547,TRUE,0.01
4548,TRUE,0.01
4549,TRUE,0.01
4550,FALSE,0.01
4551,FALSE,0.01
4563,TRUE,0.01
4564,TRUE,0.01
4166,TRUE,0.01
4184,TRUE,0.01
4185,TRUE,0.01
4186,TRUE,0.01
4187,TRUE,0.01
4188,TRUE,0.01
4198,TRUE,0.01
4199,FALSE,0.01
4200,FALSE,0.01
4202,TRUE,0.01
4265,FALSE,0.01
4269,TRUE,0.01
4274,TRUE,0.01
4277,FALSE,0.01
4285,TRUE,0.01
4293,TRUE,0.01
4298,TRUE,0.01
4304,TRUE,0.01
4312,FALSE,0.01
4315,FALSE,0.01
4320,TRUE,0.01
4324,TRUE,0.01
4326,FALSE,0.01
4327,TRUE,0.01
