      QW_SEQ          OBS     CENSORED      MODELED
        5266     0.008000         True     0.004891
        3655     0.008200         True     0.004891
        4772     0.008300         True     0.003749
        5196     0.008300         True     0.006012
        4100     0.008500         True     0.004891
        5206     0.008600         True     0.004891
        3732     0.008700         True     0.003149
        3485     0.008700         True     0.004891
        3491     0.008700         True     0.006576
        4092     0.008800         True     0.004891
        4113     0.008900         True     0.003149
        4771     0.008900         True     0.004891
        5186     0.008900         True     0.006576
        3533     0.009000         True     0.002770
        3541     0.009000         True     0.004212
        4480     0.009000         True     0.005563
        5203     0.009000         True     0.006917
        3781     0.009100         True     0.004891
        4119     0.009200        False     0.009200
        3496     0.009300         True     0.003252
        3498     0.009300         True     0.005078
        4098     0.009300        False     0.009300
        5215     0.009300         True     0.006860
        3487     0.009400         True     0.003985
        4095     0.009400         True     0.006469
        4090     0.009500         True     0.003335
        4777     0.009500         True     0.005232
        4782     0.009500         True     0.007097
        3671     0.009600         True     0.002640
        3480     0.009600         True     0.003985
        3502     0.009600         True     0.005232
        3536     0.009600         True     0.006469
        3789     0.009600        False     0.009600
        4778     0.009600         True     0.007734
        3488     0.009700         True     0.002043
        3497     0.009700         True     0.002975
        3538     0.009700         True     0.003797
        3539     0.009700         True     0.004577
        3540     0.009700         True     0.005341
        3542     0.009700         True     0.006104
        4087     0.009700         True     0.006874
        4168     0.009700         True     0.007659
        5212     0.009700         True     0.008462
        3466     0.009800         True     0.003394
        3505     0.009800         True     0.005341
        4094     0.009800         True     0.007264
        3641     0.009900        False     0.009900
        3493     0.009900         True     0.003394
        3494     0.009900         True     0.005341
        3783     0.009900        False     0.009900
        4780     0.009900         True     0.007264
        3479     0.010000         True     0.000878
        3504     0.010000         True     0.001176
        3543     0.010000         True     0.001410
        4013     0.010000         True     0.001614
        4014     0.010000        False     0.010000
        4015     0.010000         True     0.001798
        4023     0.010000         True     0.001969
        4117     0.010000         True     0.002131
        4125     0.010000        False     0.010000
        4129     0.010000         True     0.002286
        4136     0.010000         True     0.002434
        4137     0.010000         True     0.002578
        4158     0.010000        False     0.010000
        3780     0.010000        False     0.010000
        3801     0.010000         True     0.002719
        3802     0.010000         True     0.002855
        3804     0.010000         True     0.002990
        3805     0.010000         True     0.003121
        3806     0.010000         True     0.003251
        3807     0.010000        False     0.010000
        3808     0.010000         True     0.003379
        3809     0.010000        False     0.010000
        3847     0.010000         True     0.003506
        3848     0.010000         True     0.003631
        3873     0.010000         True     0.003755
        3880     0.010000         True     0.003878
        3881     0.010000        False     0.010000
        3882     0.010000         True     0.004000
        3884     0.010000         True     0.004122
        3887     0.010000         True     0.004242
        3888     0.010000         True     0.004363
        3889     0.010000         True     0.004482
        3991     0.010000         True     0.004602
        3994     0.010000         True     0.004721
        3998     0.010000         True     0.004840
        4479     0.010000        False     0.010000
        4538     0.010000         True     0.004958
        4543     0.010000         True     0.005076
        4544     0.010000         True     0.005195
        4545     0.010000         True     0.005313
        4547     0.010000         True     0.005431
        4548     0.010000         True     0.005549
        4549     0.010000         True     0.005667
        4550     0.010000        False     0.010000
        4551     0.010000        False     0.010000
        4563     0.010000         True     0.005786
        4564     0.010000         True     0.005904
        4166     0.010000         True     0.006023
        4184     0.010000         True     0.006141
        4185     0.010000         True     0.006260
        4186     0.010000         True     0.006379
        4187     0.010000         True     0.006499
        4188     0.010000         True     0.006618
        4198     0.010000         True     0.006738
        4199     0.010000        False     0.010000
        4200     0.010000        False     0.010000
        4202     0.010000         True     0.006859
        4265     0.010000        False     0.010000
        4269     0.010000         True     0.006979
        4274     0.010000         True     0.007100
        4277     0.010000        False     0.010000
        4285     0.010000         True     0.007221
        4293     0.010000         True     0.007343
        4298     0.010000         True     0.007465
        4304     0.010000         True     0.007588
        4312     0.010000        False     0.010000
        4315     0.010000        False     0.010000
        4320     0.010000         True     0.007711
        4324     0.010000         True     0.007834
        4326     0.010000        False     0.010000
        4327     0.010000         True     0.007958
        4334     0.010000         True     0.008083
        4451     0.010000        False     0.010000
        5002     0.010000        False     0.010000
        4574     0.010000         True     0.008208
        4575     0.010000         True     0.008333
        4576     0.010000         True     0.008459
        4580     0.010000         True     0.008586
        4581     0.010000         True     0.008713
        4582     0.010000         True     0.008841
        4586     0.010000         True     0.008969
        4587     0.010000        False     0.010000
        4588     0.010000        False     0.010000
        4590     0.010000         True     0.009098
        4591     0.010000         True     0.009228
        4593     0.010000        False     0.010000
        4595     0.010000         True     0.009358
        4597     0.010000         True     0.009489
        3643     0.010100         True     0.003804
        3656     0.010100        False     0.010100
        3482     0.010100         True     0.006118
        4779     0.010100         True     0.008485
        3642     0.010200         True     0.002993
        3490     0.010200         True     0.004608
        3495     0.010200         True     0.006150
        3500     0.010200         True     0.007723
        4942     0.010200         True     0.009374
        3645     0.010300         True     0.006150
        3631     0.010300        False     0.010300
        3507     0.010400         True     0.004628
        3535     0.010400         True     0.007766
        3650     0.010500         True     0.003345
        3667     0.010500        False     0.010500
        3481     0.010500         True     0.005250
        3484     0.010500         True     0.007124
        3537     0.010500         True     0.009090
        3483     0.010600         True     0.003015
        3486     0.010600         True     0.004648
        3501     0.010600         True     0.006211
        3534     0.010600         True     0.007807
        5140     0.010600         True     0.009486
        5188     0.010600        False     0.010600
        3489     0.010700         True     0.006240
        5228     0.010700        False     0.010700
        3503     0.010800         True     0.003882
        5138     0.010800         True     0.006268
        5139     0.010800         True     0.008726
        3492     0.010900         True     0.003882
        3506     0.010900         True     0.006268
        5130     0.010900         True     0.008726
        4021     0.011000        False     0.011000
        3520     0.011100        False     0.011100
        5141     0.011100         True     0.006296
        3532     0.011200         True     0.006324
        3719     0.011300        False     0.011300
        4076     0.011300        False     0.011300
        4788     0.011300        False     0.011300
        5127     0.011300         True     0.006324
        3531     0.011400         True     0.003952
        5128     0.011400         True     0.006405
        5137     0.011400         True     0.008946
        3644     0.011500        False     0.011500
        3731     0.011500        False     0.011500
        3717     0.011600        False     0.011600
        3979     0.011700        False     0.011700
        5126     0.011700         True     0.004831
        5129     0.011700         True     0.008190
        5193     0.011800        False     0.011800
        4781     0.011900         True     0.006539
        4785     0.011900        False     0.011900
        3670     0.012000         True     0.004884
        4126     0.012000        False     0.012000
        3850     0.012000         True     0.008301
        5192     0.012000        False     0.012000
        3735     0.012100        False     0.012100
        5135     0.012100         True     0.006618
        5195     0.012100        False     0.012100
        4787     0.012200        False     0.012200
        4102     0.012300        False     0.012300
        5211     0.012300        False     0.012300
        4111     0.012400        False     0.012400
        3786     0.012400        False     0.012400
        4774     0.012400        False     0.012400
        5136     0.012400         True     0.005004
        5198     0.012400         True     0.008557
        3465     0.012500         True     0.006825
        3519     0.012700        False     0.012700
        4789     0.012800        False     0.012800
        3658     0.012900        False     0.012900
        3634     0.013000        False     0.013000
        4474     0.013000         True     0.005106
        4481     0.013000         True     0.008776
        4272     0.013100        False     0.013100
        4791     0.013100        False     0.013100
        3467     0.013200         True     0.006981
        4097     0.013200        False     0.013200
        5201     0.013200        False     0.013200
        5214     0.013300        False     0.013300
        3944     0.013400        False     0.013400
        3945     0.013400        False     0.013400
        5191     0.013400        False     0.013400
        3657     0.013600         True     0.007134
        5213     0.013700        False     0.013700
        3630     0.013800        False     0.013800
        3733     0.013900         True     0.007185
        3668     0.014000         True     0.007185
        3509     0.014000        False     0.014000
        5189     0.014000        False     0.014000
        3516     0.014100        False     0.014100
        3699     0.014200         True     0.005339
        3517     0.014200        False     0.014200
        4009     0.014200         True     0.009285
        4328     0.014200        False     0.014200
        3665     0.014400        False     0.014400
        4104     0.014400        False     0.014400
        3518     0.014500        False     0.014500
        3720     0.014600        False     0.014600
        4085     0.014600        False     0.014600
        3838     0.015000        False     0.015000
        3582     0.015100        False     0.015100
        5103     0.015100        False     0.015100
        3654     0.015400        False     0.015400
        5202     0.015700        False     0.015700
        3456     0.015900        False     0.015900
        3510     0.015900        False     0.015900
        3669     0.016000         True     0.007615
        4786     0.016600        False     0.016600
        4248     0.016800        False     0.016800
        3454     0.016900         True     0.007666
        5131     0.016900        False     0.016900
        4020     0.017000        False     0.017000
        4162     0.017000        False     0.017000
        3635     0.017200        False     0.017200
        3640     0.017600        False     0.017600
        3499     0.017700        False     0.017700
        4086     0.017800        False     0.017800
        5194     0.017900        False     0.017900
        5107     0.018000        False     0.018000
        3461     0.018100        False     0.018100
        3515     0.018300        False     0.018300
        4770     0.018400        False     0.018400
        3508     0.018700        False     0.018700
        3449     0.018800         True     0.004739
        3611     0.018800         True     0.007996
        5238     0.018800         True     0.011610
        3729     0.018900        False     0.018900
        4030     0.019000        False     0.019000
        5199     0.019000        False     0.019000
        3639     0.019200        False     0.019200
        3696     0.019200         True     0.008073
        3633     0.019400        False     0.019400
        3649     0.019500        False     0.019500
        3700     0.019600         True     0.005906
        5254     0.019600         True     0.010568
        4282     0.019700        False     0.019700
        5104     0.019700        False     0.019700
        3946     0.019900        False     0.019900
        3947     0.019900        False     0.019900
        4016     0.020000        False     0.020000
        4043     0.020000        False     0.020000
        4053     0.020000        False     0.020000
        4055     0.020000        False     0.020000
        4121     0.020000        False     0.020000
        4127     0.020000        False     0.020000
        3803     0.020000        False     0.020000
        3818     0.020000        False     0.020000
        3831     0.020000        False     0.020000
        3835     0.020000        False     0.020000
        3843     0.020000        False     0.020000
        3845     0.020000        False     0.020000
        3874     0.020000        False     0.020000
        3875     0.020000        False     0.020000
        3995     0.020000        False     0.020000
        3996     0.020000        False     0.020000
        4461     0.020000        False     0.020000
        4542     0.020000        False     0.020000
        4561     0.020000        False     0.020000
        4562     0.020000        False     0.020000
        4161     0.020000        False     0.020000
        4237     0.020000        False     0.020000
        4247     0.020000        False     0.020000
        4249     0.020000        False     0.020000
        4276     0.020000        False     0.020000
        4283     0.020000        False     0.020000
        4287     0.020000        False     0.020000
        4288     0.020000        False     0.020000
        4291     0.020000        False     0.020000
        4308     0.020000        False     0.020000
        4310     0.020000        False     0.020000
        4316     0.020000        False     0.020000
