QW_SEQ,CEN,SULFATE
5137,FALSE,0.09
4577,FALSE,0.126
4573,TRUE,0.18
4589,FALSE,0.196
4583,FALSE,0.197
3767,FALSE,0.2
2839,FALSE,0.2055684
3531,FALSE,0.21
3536,FALSE,0.21
3542,FALSE,0.21
5128,FALSE,0.21
3999,FALSE,0.213
3490,FALSE,0.222
4778,FALSE,0.227
3492,FALSE,0.229
3533,FALSE,0.23
3541,FALSE,0.23
5126,FALSE,0.23
4585,FALSE,0.232
3480,FALSE,0.235
3491,FALSE,0.237
3493,FALSE,0.237
3494,FALSE,0.238
3535,FALSE,0.24
3537,FALSE,0.24
3538,FALSE,0.24
3501,FALSE,0.241
3497,FALSE,0.242
3502,FALSE,0.245
3543,FALSE,0.245
3496,FALSE,0.248
3483,FALSE,0.25
3534,FALSE,0.25
4779,FALSE,0.25
3479,FALSE,0.257
3482,FALSE,0.26
3540,FALSE,0.26
4781,FALSE,0.26
4782,FALSE,0.26
3481,FALSE,0.261
3500,FALSE,0.263
3487,FALSE,0.264
3505,FALSE,0.265
3504,FALSE,0.266
3489,FALSE,0.268
3495,FALSE,0.269
3539,FALSE,0.27
3499,FALSE,0.275
3484,FALSE,0.276
4942,FALSE,0.277
3503,FALSE,0.278
4780,FALSE,0.28
3485,FALSE,0.282
3498,FALSE,0.283
3488,FALSE,0.287
3486,FALSE,0.293
4777,FALSE,0.295
3176,TRUE,0.3
3427,FALSE,0.32
2923,FALSE,0.35
4018,FALSE,0.35
4556,FALSE,0.353
4541,FALSE,0.36
3339,FALSE,0.37
3532,FALSE,0.37
3884,FALSE,0.377
3991,FALSE,0.398
4492,FALSE,0.4
3879,FALSE,0.401
3998,FALSE,0.407
3886,FALSE,0.409
4559,FALSE,0.413
3327,FALSE,0.43
3883,FALSE,0.439
4558,FALSE,0.442
4590,FALSE,0.444
4195,FALSE,0.454
4003,FALSE,0.456
4518,FALSE,0.463
4202,FALSE,0.464
4564,FALSE,0.466
4489,FALSE,0.47
5141,FALSE,0.47
4536,FALSE,0.482
4501,FALSE,0.49
4475,FALSE,0.493
3192,FALSE,0.5
4386,FALSE,0.5
4477,FALSE,0.503
4533,FALSE,0.509
4491,FALSE,0.51
4473,FALSE,0.514
4557,FALSE,0.519
3328,FALSE,0.52
4500,FALSE,0.52
4540,FALSE,0.52
4526,FALSE,0.522
3990,FALSE,0.533
4582,FALSE,0.537
4486,FALSE,0.55
4668,FALSE,0.55
4194,FALSE,0.551
4524,FALSE,0.555
4499,FALSE,0.56
4197,FALSE,0.579
4576,FALSE,0.589
4387,FALSE,0.6
4543,FALSE,0.601
4488,FALSE,0.62
4511,FALSE,0.62
4201,FALSE,0.631
4019,FALSE,0.635
4527,FALSE,0.639
4198,FALSE,0.639
4596,FALSE,0.641
4534,FALSE,0.647
4537,FALSE,0.651
4196,FALSE,0.651
4555,FALSE,0.663
4068,FALSE,0.675
