      QW_SEQ          OBS     CENSORED      MODELED
        2847     0.020000         True     0.001191
        2849     0.020000         True     0.001600
        2862     0.020000         True     0.001917
        2719     0.020000         True     0.002190
        2741     0.020000         True     0.002434
        2744     0.020000         True     0.002659
        2752     0.020000         True     0.002869
        2759     0.020000         True     0.003067
        2766     0.020000         True     0.003256
        2772     0.020000         True     0.003438
        2776     0.020000         True     0.003613
        2782     0.020000         True     0.003783
        2783     0.020000         True     0.003948
        2792     0.020000         True     0.004108
        2794     0.020000         True     0.004265
        2807     0.020000         True     0.004419
        2815     0.020000         True     0.004569
        2818     0.020000         True     0.004717
        2824     0.020000         True     0.004863
        2829     0.020000         True     0.005006
        2837     0.020000         True     0.005147
        3075     0.020000         True     0.005287
        3077     0.020000         True     0.005424
        3079     0.020000         True     0.005560
        3125     0.020000         True     0.005695
        3126     0.020000         True     0.005828
        3162     0.020000         True     0.005960
        3168     0.020000         True     0.006090
        3214     0.020000         True     0.006220
        3215     0.020000         True     0.006348
        3226     0.020000         True     0.006475
        4134     0.020000         True     0.006602
        3754     0.020000         True     0.006727
        3757     0.020000         True     0.006852
        3764     0.020000         True     0.006976
        3765     0.020000         True     0.007099
        3766     0.020000         True     0.007222
        3768     0.020000         True     0.007344
        3769     0.020000         True     0.007465
        4336     0.020000         True     0.007585
        4339     0.020000         True     0.007705
        4342     0.020000         True     0.007825
        4343     0.020000         True     0.007944
        4346     0.020000         True     0.008062
        4347     0.020000         True     0.008180
        4348     0.020000         True     0.008298
        4350     0.020000         True     0.008415
        4351     0.020000         True     0.008532
        4352     0.020000         True     0.008648
        4361     0.020000         True     0.008764
        4362     0.020000         True     0.008879
        4364     0.020000         True     0.008995
        4365     0.020000         True     0.009110
        4372     0.020000         True     0.009224
        4373     0.020000         True     0.009339
        4376     0.020000         True     0.009453
        4377     0.020000         True     0.009567
        4378     0.020000         True     0.009680
        4379     0.020000         True     0.009794
        4380     0.020000         True     0.009907
        4382     0.020000         True     0.010020
        4388     0.020000         True     0.010133
        4390     0.020000         True     0.010245
        4391     0.020000         True     0.010357
        4394     0.020000         True     0.010470
        4395     0.020000         True     0.010582
        4396     0.020000         True     0.010694
        4397     0.020000         True     0.010805
        4398     0.020000         True     0.010917
        4399     0.020000         True     0.011028
        4400     0.020000         True     0.011140
        4401     0.020000         True     0.011251
        4402     0.020000         True     0.011362
        4860     0.020000         True     0.011473
        4864     0.020000         True     0.011584
        4866     0.020000         True     0.011694
        4871     0.020000         True     0.011805
        4872     0.020000         True     0.011916
        4873     0.020000         True     0.012026
        4878     0.020000         True     0.012137
        4879     0.020000        False     0.020000
        4887     0.020000         True     0.012247
        4889     0.020000         True     0.012357
        4890     0.020000         True     0.012468
        4901     0.020000         True     0.012578
        4903     0.020000         True     0.012688
        4919     0.020000         True     0.012798
        4939     0.020000         True     0.012908
        4941     0.020000         True     0.013018
        4945     0.020000         True     0.013129
        4953     0.020000         True     0.013239
        4628     0.020000         True     0.013349
        4629     0.020000         True     0.013459
        4630     0.020000         True     0.013569
        4631     0.020000         True     0.013679
        4632     0.020000         True     0.013788
        4634     0.020000         True     0.013898
        4635     0.020000         True     0.014008
        4639     0.020000         True     0.014118
        4642     0.020000         True     0.014228
        4645     0.020000         True     0.014338
        4646     0.020000         True     0.014448
        4648     0.020000         True     0.014558
        4672     0.020000         True     0.014669
        4678     0.020000         True     0.014779
        4680     0.020000         True     0.014889
        4681     0.020000         True     0.014999
        4683     0.020000         True     0.015109
        4684     0.020000         True     0.015219
        4687     0.020000         True     0.015329
        4688     0.020000         True     0.015440
        4694     0.020000         True     0.015550
        4695     0.020000         True     0.015660
        4696     0.020000         True     0.015771
        4703     0.020000         True     0.015881
        4705     0.020000         True     0.015992
        4714     0.020000         True     0.016103
        4723     0.020000         True     0.016213
        4724     0.020000         True     0.016324
        4727     0.020000         True     0.016435
        4732     0.020000         True     0.016545
        4734     0.020000         True     0.016656
        4735     0.020000         True     0.016767
        4737     0.020000         True     0.016878
        4741     0.020000         True     0.016990
        4746     0.020000         True     0.017101
        4748     0.020000         True     0.017212
        4755     0.020000         True     0.017323
        4831     0.020000         True     0.017435
        4833     0.020000         True     0.017546
        4837     0.020000         True     0.017658
        4838     0.020000         True     0.017770
        4839     0.020000         True     0.017881
        4843     0.020000         True     0.017993
        4849     0.020000         True     0.018105
        4850     0.020000         True     0.018217
        5306     0.020000         True     0.018329
        5307     0.020000         True     0.018442
        5309     0.020000         True     0.018554
        5310     0.020000         True     0.018666
        5312     0.020000         True     0.018779
        5314     0.020000         True     0.018892
        5315     0.020000         True     0.019004
        5055     0.020000         True     0.019117
        5056     0.020000         True     0.019230
        5074     0.020000         True     0.019343
        5076     0.020000         True     0.019456
        5283     0.020000         True     0.019570
        5284     0.020000         True     0.019683
        5285     0.020000         True     0.019797
        5289     0.020000         True     0.019910
        5290     0.020000         True     0.020024
        2735     0.020048        False     0.020048
        2737     0.020665        False     0.020665
        4647     0.020854        False     0.020854
        5046     0.021000        False     0.021000
        5282     0.021000        False     0.021000
        2790     0.021493        False     0.021493
        3140     0.021641        False     0.021641
        4677     0.021924        False     0.021924
        4870     0.022000        False     0.022000
        4888     0.022000        False     0.022000
        4891     0.022000        False     0.022000
        4900     0.022000        False     0.022000
        4640     0.022000        False     0.022000
        5064     0.022000         True     0.012192
        3256     0.022280        False     0.022280
        3100     0.022329        False     0.022329
        2745     0.022732        False     0.022732
        4928     0.023000        False     0.023000
        2734     0.023232        False     0.023232
        4674     0.023305        False     0.023305
        2767     0.023417        False     0.023417
        3127     0.023741        False     0.023741
        5270     0.024000        False     0.024000
        2827     0.024322        False     0.024322
        4750     0.024703        False     0.024703
        4937     0.024800        False     0.024800
        4337     0.025000        False     0.025000
        4886     0.025000        False     0.025000
        4760     0.025000        False     0.025000
        5059     0.025000         True     0.009812
        5060     0.025000         True     0.016360
        4697     0.025165        False     0.025165
        4744     0.025527        False     0.025527
        3078     0.025721        False     0.025721
        5304     0.026000        False     0.026000
        5316     0.026000        False     0.026000
        5080     0.026000        False     0.026000
        3161     0.026060        False     0.026060
        3102     0.026263        False     0.026263
        4740     0.026642        False     0.026642
        4804     0.026645        False     0.026645
        3076     0.026682        False     0.026682
        3777     0.027000        False     0.027000
        4914     0.027000        False     0.027000
        5061     0.027000        False     0.027000
        4742     0.027118        False     0.027118
        3123     0.027640        False     0.027640
        3775     0.028000        False     0.028000
        4407     0.028000        False     0.028000
        3153     0.028294        False     0.028294
        2850     0.028709        False     0.028709
        4728     0.028740        False     0.028740
        4437     0.028913        False     0.028913
        4385     0.029000        False     0.029000
        4922     0.029000        False     0.029000
        3234     0.029223        False     0.029223
        4412     0.029794        False     0.029794
        3349     0.030000        False     0.030000
        3362     0.030000        False     0.030000
        3363     0.030000        False     0.030000
        3364     0.030000         True     0.008926
        3365     0.030000         True     0.014647
        3366     0.030000         True     0.020390
        4404     0.030000        False     0.030000
        4949     0.030000        False     0.030000
        5291     0.030000        False     0.030000
        3752     0.031000        False     0.031000
        4375     0.031000        False     0.031000
