QW_SEQ,SITE_ID,SITE_NAME,SAMPLE_DATE,LATITUDE,LONGITUDE,R_TOT_ORG_CARBON,TOT_ORG_CARBON_MGL,UPD_TOT_ORG_CARBON,R_DISS_ORG_CARBON,DISS_ORG_CARBON_MGL,R_SULFATE_MGL,SULFATE_MGL,R_PH,PH,R_TOT_UNFILTERED_MEHG,TOT_UNFILTERED_MEHG_NGL,UPD_TOT_UNFILTERED_MEHG,SUBS_R_TOT_UNFILTERED_MEHG,SUBS_TOT_UNFILTERED_MEHG,R_DISS_MEHG,DISS_MEHG_NGL,UPD_DISS_MEHG,SUBS_R_DISS_MEHG,SUBS_DISS_MEHG,R_PARTICULATE_MEHG,PARTICULATE_MEHG_NGL,SUBS_R_PARTICULATE_MEHG,SUBS_PARTICULATE_MEHG,R_TOT_UNFILTERED_HG,TOT_UNFILTERED_HG_NGL,UPD_TOT_UNFILTERED_HG,R_PARTICULATE_HG,PARTICULATE_HG_NGL,R_DISS_HG,DISS_HG_NGL,UPD_DISS_HG,SUBS_R_DISS_HG,SUBS_DISS_HG,SOURCE_TABLE
2840,1B3-062,BASSET POND 1B3-062,8/7/2004,41.5924988,-75.7111111,,7.771,,,,,6.06662127,,7.29,,0.06,,,0.06,,,,,,,,,,,0.87,,,,,,,,,ELS_MERCURY_DATA_FINAL
2841,1B3-041,EAST STROUDSBURG RESERVOIR 1B3-041,8/6/2004,41.0666504,-75.1666667,,4.138,,,,,9.89787831,,7.07,,0.11,,,0.11,,,,,,,,,,,1.49,,,,,,,,,ELS_MERCURY_DATA_FINAL
2842,1B1-010,GANOGA LAKE 1B1-010,8/6/2004,41.3583069,-76.3208333,,1.018,,,,,6.37276449,,5,,0.08,,,0.08,,,,,,,,,,,1.19,,,,,,,,,ELS_MERCURY_DATA_FINAL
2843,1B3-019,HARTLEY POND 1B3-019,8/7/2004,41.6583252,-75.7083333,,8.823,,,,,4.73691072,,6.27,,0.11,,,0.11,,,,,,,,,,,1.46,,,,,,,,,ELS_MERCURY_DATA_FINAL
2844,1B3-012,"LITTLE BUTLER LAKE, PA 1B3-012",8/7/2004,41.8624878,-75.6277778,,8.124,,,,,4.62183084,,6.65,,0.15,,,0.15,,,,,,,,,,,2.4,,,,,,,,,ELS_MERCURY_DATA_FINAL
2845,1B1-064,MILL POND NO. 1 1B1-064,8/6/2004,41.179718,-75.4108333,,10.141,,,,,4.8039606,,6.27,,0.37,,,0.37,,,,,,,,,,,5.04,,,,,,,,,ELS_MERCURY_DATA_FINAL
2846,1B1-055,ROCK HILL POND 1B1-055,8/8/2004,41.3135986,-75.0161111,,9.353,,,,,5.00097966,,6.02,,0.45,,,0.45,,,,,,,,,,,2.4,,,,,,,,,ELS_MERCURY_DATA_FINAL
2847,1B3-060,SLY LAKE 1B3-060,8/7/2004,41.8236084,-75.3372222,,3.794,,,,,4.9331613,,7.45,,0.019865561,,<,0.02,,,,,,,,,,,0.83,,,,,,,,,ELS_MERCURY_DATA_FINAL
2848,1B3-053,SNOWFLAKE LAKE 1B3-053,8/7/2004,41.9049988,-75.4102778,,3.757,,,,,4.53220686,,6.84,,0.07,,,0.07,,,,,,,,,,,1.44,,,,,,,,,ELS_MERCURY_DATA_FINAL
2849,1B3-043,"TROUT LAKE, PA 1B3-043",8/6/2004,41.0041504,-75.3416667,,2.786,,,,,5.67311148,,7.35,,0.015966081,,<,0.02,,,,,,,,,,,0.85,,,,,,,,,ELS_MERCURY_DATA_FINAL
2850,1B1-023,"TWIN LAKES, PA 1B1-023",8/8/2004,41.3833313,-74.9041667,,4.352,,,,,5.49876258,,6.54,,0.028708622,,,0.028708622,,,,,,,,,,,0.91,,,,,,,,,ELS_MERCURY_DATA_FINAL
2851,1B1-029,WILSON CREEK DAM 1B1-029,8/8/2004,41.2916565,-75.2388889,,12.48,,,,,5.11370607,,6.36,,0.38,,,0.38,,,,,,,,,,,3.24,,,,,,,,,ELS_MERCURY_DATA_FINAL
2852,1D3-026,ARNOLD MILK RES.,7/14/2004,41.9833069,-71.3958333,,5.058,,,,,7.73215758,,7.04,,0.07,,,0.07,,,,,,,,,,,0.58,,,,,,,,,ELS_MERCURY_DATA_FINAL
2853,1D1-067,ROUND POND,7/19/2004,44.1246948,-73.7336111,,6.319,,,,,4.69834263,,5.54,,0.28,,,0.28,,,,,,,,,,,1.5,,,,,,,,,ELS_MERCURY_DATA_FINAL
2854,1D1-027,SCHOOL HOUSE POND,7/18/2004,41.3999939,-71.6666667,,5.003,,,,,4.47971007,,6.64,,0.11,,,0.11,,,,,,,,,,,0.7,,,,,,,,,ELS_MERCURY_DATA_FINAL
2855,1D2-049,SPRING GROVE POND,7/19/2004,41.9096985,-71.65,,4.117,,,,,6.59629611,,6.59,,0.21,,,0.21,,,,,,,,,,,1.72,,,,,,,,,ELS_MERCURY_DATA_FINAL
2856,VT17-02L01,BEAVER POND,8/17/2004,44.8121948,-70.6872222,,5.58,,,,,3.35993865,,6.46,,0.12,,,0.12,,,,,,,,,,,2.24,,,,,,,,,ELS_MERCURY_DATA_FINAL
2857,VT01-05L01,BOURN POND,8/12/2004,43.1053,-73.0044,,5.005,,,,,2.55726129,,5.34,,0.26,,,0.26,,,,,,,,,,,2.74,,,,,,,,,ELS_MERCURY_DATA_FINAL
2858,VT01-06L01,BRANCH POND,8/12/2004,43.0810852,-73.0186111,,5.458,,,,,2.85533547,,5.01,,0.17,,,0.17,,,,,,,,,,,3.06,,,,,,,,,ELS_MERCURY_DATA_FINAL
2859,VT11-15L01,FORESTER POND,7/26/2004,43.081665,-72.8680556,,2.96,,,,,5.00611887,,4.8,,0.07,,,0.07,,,,,,,,,,,1.18,,,,,,,,,ELS_MERCURY_DATA_FINAL
2860,VT12-03L01,GROUT POND,7/26/2004,43.0455322,-72.9458333,,3.221,,,,,2.76816102,,6.05,,0.035886976,,,0.035886976,,,,,,,,,,,1.34,,,,,,,,,ELS_MERCURY_DATA_FINAL
2861,VT08-13L01,HARDWOOD POND,8/11/2004,44.4680481,-72.5,,4.591,,,,,3.19740513,,6.5,,0.07,,,0.07,,,,,,,,,,,1.72,,,,,,,,,ELS_MERCURY_DATA_FINAL
2862,VT12-05L01,HAYSTACK POND,8/10/2004,42.9166565,-72.9166667,,0.6033,,,,,2.74169649,,5.03,,0.016395678,,<,0.02,,,,,,,,,,,1.6,,,,,,,,,ELS_MERCURY_DATA_FINAL
2863,VT12-02L02,HOWE POND,7/27/2004,42.785553,-72.9875,,5.411,,,,,2.36792703,,6.19,,0.47,,,0.47,,,,,,,,,,,3,,,,,,,,,ELS_MERCURY_DATA_FINAL
2864,VT12-04L04,LITTLE POND,7/27/2004,42.9249878,-73.0652778,,1.679,,,,,4.35939492,,5.32,,0.12,,,0.12,,,,,,,,,,,1.82,,,,,,,,,ELS_MERCURY_DATA_FINAL
2865,VT12-02L03,STAMFORD POND,8/9/2004,42.8222046,-73.0652778,,3.619,,,,,3.48813072,,5.6,,0.28,,,0.28,,,,,,,,,,,2.2,,,,,,,,,ELS_MERCURY_DATA_FINAL
2866,VT11-08L01,SUNSET LAKE,8/10/2004,42.9194336,-72.6833333,,2.123,,,,,3.25427265,,5.89,,0.031390829,,,0.031390829,,,,,,,,,,,0.72,,,,,,,,,ELS_MERCURY_DATA_FINAL
2867,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",1/14/1998,48.0677369,-95.5705628,,21.7,,,,,,,7.5,,0.56,,,0.56,,,,,,,,,,,3.21,,,,,,,,,HG_MINNESOTANWIS_20090121
2868,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",2/17/1998,48.0677369,-95.5705628,,18.3,,,,,,,7.2,,1.37,,,1.37,,,,,,,,,,,2.72,,,,,,,,,HG_MINNESOTANWIS_20090121
2869,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",3/18/1998,48.0677369,-95.5705628,,16.9,,,,,,,6.9,,0.15,,,0.15,,0.23,,,0.23,,,,,,2.47,,,,,1.81,,,1.81,HG_MINNESOTANWIS_20090121
2870,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",4/21/1998,48.0677369,-95.5705628,,13.4,,,,,,,7.1,,0.1,,,0.1,,0.21,,,0.21,,,,,,1.88,,,,,1.62,,,1.62,HG_MINNESOTANWIS_20090121
2871,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",5/19/1998,48.0677369,-95.5705628,,21,,,,,,,7.4,,1.07,,,1.07,,1.09,,,1.09,,,,,,5.02,,,,,4.48,,,4.48,HG_MINNESOTANWIS_20090121
2872,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",6/4/1998,48.0677369,-95.5705628,,,,,,,,,,,0.6,,,0.6,,,,,,,,,,,2.87,,,,,,,,,HG_MINNESOTANWIS_20090121
2873,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",6/15/1998,48.0677369,-95.5705628,,22.8,,,,,,,7.2,,0.5,,,0.5,,0.39,,,0.39,,,,,,2.54,,,,,1.39,,,1.39,HG_MINNESOTANWIS_20090121
2874,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",7/8/1998,48.0677369,-95.5705628,,21.6,,,,,,,,,1.27,,,1.27,,,,,,,,,,,4.28,,,,,,,,,HG_MINNESOTANWIS_20090121
2875,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",7/20/1998,48.0677369,-95.5705628,,20.2,,,,,,,7.4,,1.52,,,1.52,,0.85,,,0.85,,,,,,4.34,,,,,3.98,,,3.98,HG_MINNESOTANWIS_20090121
2876,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",8/18/1998,48.0677369,-95.5705628,,22.6,,,22.1,,,,7.7,,0.57,,,0.57,,0.5,,,0.5,,,,,,2.14,,,,,1.85,,,1.85,HG_MINNESOTANWIS_20090121
2877,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",9/3/1998,48.0677369,-95.5705628,,21,,,,,,,7.6,,0.4,,,0.4,,,,,,,,,,,1.77,,,,,,,,,HG_MINNESOTANWIS_20090121
2878,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",9/22/1998,48.0677369,-95.5705628,,28.9,,,19.4,,,,8.1,,0.19,,,0.19,,0.18,,,0.18,,,,,,1.36,,,,,1.1,,,1.1,HG_MINNESOTANWIS_20090121
2879,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",10/14/1998,48.0677369,-95.5705628,,18,,,,,,,7.6,,0.15,,,0.15,,,,,,,,,,,1.08,,,,,,,,,HG_MINNESOTANWIS_20090121
2880,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",1/21/1999,48.0677369,-95.5705628,,14.5,,,,,,,6.8,,0.29,,,0.29,,,,,,,,,,,2.18,,,,,,,,,HG_MINNESOTANWIS_20090121
2881,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",2/22/1999,48.0677369,-95.5705628,,25.8,,,,,,,7.2,,12.3,,,12.3,,,,,,,,,,,13.7,,,,,,,,,HG_MINNESOTANWIS_20090121
2882,05074760,"UNNAMED DITCH ABOVE GOOD LAKE, NEAR ERIE, MN",3/26/1999,48.0677369,-95.5705628,,,,,,,,,,,1.03,,,1.03,,,,,,,,,,,2.76,,,,,,,,,HG_MINNESOTANWIS_20090121
2883,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",5/7/1997,48.0171806,-95.5572311,,16.4,,,,,,,7.6,,0.26,,,0.26,,,,,,,,,,,2.45,,,,,,,,,HG_MINNESOTANWIS_20090121
2884,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",5/20/1997,48.0171806,-95.5572311,,17.5,,,,,,,7.1,,0.26,,,0.26,,,,,,,,,,,3.03,,,,,,,,,HG_MINNESOTANWIS_20090121
2885,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",6/10/1997,48.0171806,-95.5572311,,19.7,,,20.1,,,,7.5,,0.77,,,0.77,,0.58,,,0.58,,,,,,2.78,,,,,4.43,,,4.43,HG_MINNESOTANWIS_20090121
2886,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",8/20/1997,48.0171806,-95.5572311,,26.2,,,,,,,,,0.1,,,0.1,,,,,,,,,,,1.62,,,,,,,,,HG_MINNESOTANWIS_20090121
2887,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",10/6/1997,48.0171806,-95.5572311,,26.4,,,,,12.6,,7.7,,0.04,,,0.04,,0.03,,,0.03,,,,,,0.1,,,,,2.22,,,2.22,HG_MINNESOTANWIS_20090121
2888,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",12/16/1997,48.0171806,-95.5572311,,28.5,,,27.3,,30.4,,8.3,,0.27,,,0.27,,0.05,,,0.05,,,,,,2.3,,,,,1.41,,,1.41,HG_MINNESOTANWIS_20090121
2889,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",1/14/1998,48.0171806,-95.5572311,,32.6,,,,,,,,,1,,,1,,,,,,,,,,,3.72,,,,,,,,,HG_MINNESOTANWIS_20090121
2890,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",2/17/1998,48.0171806,-95.5572311,,27.6,,,,,,,7.7,,0.65,,,0.65,,,,,,,,,,,3.32,,,,,,,,,HG_MINNESOTANWIS_20090121
2891,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",3/18/1998,48.0171806,-95.5572311,,20.4,,,20.1,,39.5,,7.7,,0.37,,,0.37,,0.14,,,0.14,,,,,,2.51,,,,,2.51,,,2.51,HG_MINNESOTANWIS_20090121
2892,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",4/21/1998,48.0171806,-95.5572311,,15.7,,,,,,,7.7,,0.13,,,0.13,,0.13,,,0.13,,,,,,1.28,,,,,1.01,,,1.01,HG_MINNESOTANWIS_20090121
2893,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",5/19/1998,48.0171806,-95.5572311,,17.6,,,17.3,,,,8,,0.25,,,0.25,,0.21,,,0.21,,,,,,2.28,,,,,1.85,,,1.85,HG_MINNESOTANWIS_20090121
2894,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",6/4/1998,48.0171806,-95.5572311,,,,,,,,,7.8,,0.45,,,0.45,,,,,,,,,,,2.48,,,,,,,,,HG_MINNESOTANWIS_20090121
