Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,1010001,0,2009362.29283,2932025.76878,2275217.4190006900,648245.2535205940
0,1010002,1,2024068.19974,2915976.92112,2291678.3731868000,633381.0755008260
0,1010003,2,2065556.15501,2968715.58759,2326598.3600286900,691435.8907103320
0,1010004,3,2089747.64951,2930893.68917,2355114.7710215700,655344.5156023300
0,1010005,4,2137318.09885,2908473.55381,2404993.5207308900,637423.4361927870
0,1020001,5,2035365.64341,2833423.04918,2312274.8213456100,550428.9596669380
0,1020002,6,2070352.22850,2866351.85664,2343348.5068170800,587534.0319451590
0,1020003,7,2136279.38587,2848131.35904,2410958.1930811200,575766.4188978840
0,1020004,8,2070057.91355,2777910.14538,2352878.3296138700,497438.2609728560
0,1020005,9,2120907.36742,2758874.60774,2405569.9072313700,483243.5069465020
0,1030001,10,2007059.98133,2789414.65619,2288936.3046633800,502795.9020916330
0,1030002,11,1982938.87365,2743077.78095,2269845.6649415700,453288.4550684540
0,1030003,12,2045453.63951,2700556.53418,2336551.9956658100,416290.1995272910
0,1040001,13,1950006.30028,2689353.51726,2242553.9437349500,395493.5756451740
0,1040002,14,2005021.25817,2647668.45805,2301595.2701540700,358564.0237008680
0,1050001,15,2183913.67639,2811311.47737,2462513.5829762700,543190.5126395360
0,1050002,16,2179859.44059,2735591.65969,2466813.7774159900,465598.0688064160
0,1050003,17,2090828.24062,2644241.02998,2387554.6669167700,363589.7101815230
0,1060001,18,2023253.73837,2596125.11780,2324860.7191505600,308034.8860209860
0,1060002,19,1977585.16589,2584671.30854,2280358.8764444800,291971.9372745040
0,1060003,20,2004550.38278,2516461.07833,2313722.6696828400,225415.3243764190
0,1070001,21,1924383.69596,2562330.50555,2229334.5064206700,264221.8786034700
0,1070002,22,1967423.89452,2491258.85281,2278905.5146806400,196322.5927515070
0,1070003,23,1928158.90977,2486666.68974,2240048.2892655000,187954.6378004230
0,1070004,24,1958498.02638,2424613.67886,2275901.8654051800,127992.5622320420
0,1070005,25,1984017.08680,2412734.79033,2302487.0913684900,118366.7664352370
0,1080101,26,1913613.12907,2649466.17578,2210233.6908475500,351504.6015214050
0,1080102,27,1882852.98025,2634197.62219,2181035.7567241800,333083.0324526920
0,1080103,28,1876019.57574,2577784.88616,2179581.4556666100,275289.2825749900
0,1080104,29,1892754.91188,2513080.93074,2202262.2777107400,211362.0134634760
0,1080105,30,1850665.02501,2549289.73352,2156896.1370410000,244063.7830494480
0,1080106,31,1862422.78299,2524599.38493,2170897.4379009100,220178.6972104640
0,1080107,32,1864591.11437,2467976.06649,2178122.5974902900,163104.7573153860
0,1080201,33,1900255.22711,2419270.38055,2218055.0806764800,117153.3681747010
0,1080202,34,1922358.10441,2425985.56967,2239602.4042588200,125999.7778832460
0,1080203,35,1865806.35761,2422908.70876,2183254.0100266900,117651.8870061860
0,1080204,36,1927372.23472,2389769.03823,2247736.4525059600,89828.6026573894
0,1080205,37,1918568.40059,2316252.17531,2245042.3435559500,14678.4767980652
0,1080206,38,1873187.05864,2372690.13715,2194898.7560035500,67573.0979100743
0,1080207,39,1877827.59663,2333265.22480,2202809.9307796700,28159.5201349338
0,1090001,40,2014056.99769,2420495.44639,2331886.3771160900,129069.1311219160
0,1090002,41,2072208.32977,2359839.99121,2395392.1342325800,73125.4056578776
