HUC8_NUM,PH_MEDIAN,SULFATE_MEDIAN,ORGANIC_CARBON_MEDIAN,WETLAND_PERC
1050002,6.2,4.4,8.725,13.02024348
1070002,6.7,9,5.1,5.972897449
1070005,6.8,5.29,6.525,11.61654186
1080104,7.26,9,2.8,2.199470153
1080106,7.2,6.9,2.1,1.113315323
1090001,6.925,12.125,7,13.00951762
1090002,5.675,7.22,21.5,14.61444915
1100006,7.3,15.2,4.8,3.509620624
2020003,7.9,11.75,3,11.17417832
2030103,7.475,17.25,4.5,11.2694674
2030104,7.1,17.7,2.5,8.823850438
2030201,6.5,20,2.5,2.822407904
2030202,6.8,20,2.775,5.15425694
2040104,6.6,6.3,1.8,4.635476197
2040105,7.725,21.675,3.3,4.930558901
2040203,7.5,29.775,1.85,1.23124592
2050201,5.2,139.5,1.675,0.118554341
2050302,7.37,17.5,1.9,0.005337875
2060006,6.7,9,2.5,3.676385569
2060010,6.7,27.875,7.2,11.6202249
2070001,7.9,12,4.1,0.010179352
2070002,6.75,55.75,2.1,0.15314136
2070003,7,8.61,2.925,0.007638648
2070004,7.3,19,2.2,0.476776375
2070005,6.31,4.8225,1.4,0.008898395
2070007,7.1,18,41.975,0.579032476
2070008,7.2,14,3,1.199290062
2070009,7.5,9.9,1.9,2.044690426
2070010,7.005,17.2,3.8,1.082591526
2070011,6.8,10.4,5.05,3.170573605
2080103,6.84,2.424,2.2,0.626793112
2080107,6.995,5.58,7.35,10.57390654
2080202,7.1,7.4,0.2,0.000914923
2080206,6.825,5.075,7.85,9.068814262
2080207,6.77,4.4,4.8,4.286753955
3010101,7.4,4.675,3.65,0.055536631
3010103,7,4.1,2.65,0.331422886
3010201,6,3.5,5.85,8.127710318
3010202,6.5,8.23,11,12.16390323
3010205,6.3,23,15.55,37.46041285
3020106,6.05,7.45,24,42.44013997
3030002,7.025,12.4,7.4,1.611671535
3030006,5.59,4.85,13,21.79883759
3040101,7.025,36.225,2.95,0.271510722
3050101,6.9,6.505,2.4,0.42085968
3050105,6.85,1.5039,2.1335,1.100109132
