HUCFNL,MEDIAN_THG_BY_HUC,COUNT_THG_BY_HUC
10010001,0.65,3
10020007,154.9383333,2
10030201,0.46,1
10070001,2.1425,4
10080010,3.89,1
10080014,5.31,1
10090101,1.87,1
10100004,4.07,1
1010002,1.01,1
1010004,1.59,1
1010005,1.5,1
10110101,4.29,31
10120106,30,1
10120109,2.7,1
10120111,115.89,1
10120112,23.38,3
10120202,21.43,13
10130306,3.18,1
10190004,3.2646,1
10190005,1.25,10
10190006,1.06,13
10190007,1.21015,2
10190018,1.1401,1
1020001,3.185,2
1020002,1.5,2
1020004,2.815,4
1020005,1.475,4
10200203,5.8688,1
10210002,1.3081,1
10210003,4.2473,1
10210006,1.5976,1
10210008,2.4924,1
10210010,4.3558,1
10220003,2.6021,2
10270104,2.1041,3
1030002,5.89,2
1030003,2.04,11
10300101,4.3473,1
1040001,1.02,1
1040002,3.876800418,5
1050001,2.075,2
1050002,2.005,10
1050003,1.385,4
1060001,1.46,6
1060002,1.03,4
1060003,1.91,11
1070001,1.34,2
1070002,1.493186787,16
1070003,1.37,3
1070004,1.06,5
1070005,1.68,5
1080101,1.26,1
1080104,1.94,1
1080107,0.95,2
1080201,1.75,1
1080202,1.91,3
1080203,1.82,5
1080205,,0
1080207,,0
1090001,2.57,10
1090002,1.02,11
1090003,2.165,6
1090004,1.28,4
1090005,0.7,1
1100001,1.215,4
1100005,1.18,2
1100006,,0
1110000,2.24,1
11100301,1.4036,1
11100302,3.4005,1
12030103,1.8477,1
12030105,3.7599,2
12030106,,0
12030109,2.6374,1
12030201,4.79485,2
12030202,2.999,2
13010004,1.2541,1
13020102,0.9623,1
14010001,0.91,13
14010002,0.56,2
14020006,3.865,2
15060202,0.8495,3
15060203,0.5169,1
16010202,2.6,1
16020101,21.76,1
16020204,4.8,1
16050102,16.7419,3
16050201,4.08,4
16050202,172.9469,3
16050203,204.57,1
17010201,5.57,1
17010204,1.53,1
17010207,0.67,3
17010212,1.14,1
17010302,8.91,1
17020013,0.5226,1
17030001,0.7491,1
17030003,0.8747,2
17040101,0.57,1
17060109,,0
17090001,0.4202,1
17090002,3.435,2
17090004,0.59645,48
17090005,1.0518,2
17090006,0.6179,1
17090010,2.1363,48
17090011,2.69115,2
17090012,4.5175,1
17100303,1.3359,1
17110012,2.82,4
17110013,0.548,1
17110017,0.3035,1
18020003,0.9,5
18020102,1.02,1
18020104,8.545,2
18020108,17.82,1
18020109,4.09585,2
18020111,3.44945,2
18020119,0.58,1
18020121,1.23,1
18020127,1.9955,1
18030001,0.745,6
18030007,0.693333333,4
18030010,0.76,9
18040001,17.1816,1
18040002,1.8847,6
18040006,0.635,2
18040008,0.645,2
18040009,0.91,7
18040013,1.8456,1
18070203,2.99,5
19020401,2.73,2
19020502,4.97,1
19020505,2.21,1
19020602,9.78,1
20060000,1.135,2
2010003,1.72,1
2010006,1.27,3
2020001,1.9958,151
2020002,2.01,5
2020003,2.9,2
2020004,1.98,5
2020005,1.285,2
2020006,1.03,3
2020007,1.31,2
2030101,0.88,1
2030103,2.86,2
2030105,2.48,2
2030202,2.035,2
2040101,1.28,4
2040102,1.68,2
2040103,2.155,2
2040104,1.02,11
2040105,11.64,2
2040106,1.94,3
2040201,8.45,2
2040202,1.12,5
2040203,1.565,6
2040205,2.27585,2
2040206,2.25,1
2040302,12.26,1
2050101,1.44,1
2050106,1.46,3
2050107,1.19,1
2060002,0.8148,1
2060008,1.2822,3
2060009,4.5151,1
2070001,1.4459,1
2070010,2.0646,1
3010102,1.037,1
3010201,1.4469,1
3010203,6.602,1
3020103,1.8802,1
3020201,2.107,3
3020203,1.583,1
3050109,1.05,1
3050203,2.88,11
3050204,2.854,107
3050205,4.7243,19
3050206,3.74,1
3070204,5.7189,37
3080101,1.2405,40
3090101,2.7873,1
3090202,0.6749,3
3110102,4.5755,2
3110203,2.2542,1
3110206,1.4276,29
3130001,3.2121,1
3130002,2.26645,2
3130006,1.9473,1
3130008,0.729,1
3130009,0.9353,1
3130010,1.0982,1
3130013,7.7288,1
3150105,4.68,1
3150202,1.14,2
3150204,1.78,1
3160201,2.74,1
3160203,2.09,1
3160204,2.27,1
4010101,1.606463835,4
4010201,0.365620026,1
4010202,1.118735389,1
4010301,0.625241748,1
4020101,19.5,1
4020102,0.673341115,2
4020103,1.126050369,2
4020104,0.887,1
4020105,1.818,1
4030101,0.470635977,2
4030104,0.927597691,3
4030105,1.76,1
4030107,1.792,5
4030108,1.6804,38
4030110,0.653,1
4030111,1.178764304,1
4030201,0.289895821,2
4030202,1.4142,46
4030203,0.683749958,1
4040001,1.43,25
4040002,2.1168,35
4040003,2.088095204,2
4050001,1.65855,24
4050002,0.598676992,2
4050003,0.378523552,4
4050004,0.445709115,1
4050006,0.575588198,2
4050007,1.550435122,1
4060101,0.528789927,4
4060102,0.39727339,2
4060104,0.322,1
4060105,0.444,1
4070004,0.384,2
4070006,0.392,1
4070007,0.412,1
4080201,0.234,1
4080202,0.299,1
4080203,0.210388322,2
4090003,0.832249434,3
4090005,0.487,6
4100002,0.368,1
4100003,2.2,9
4100005,8.851,15
4110002,4.6452,1
4110004,1.6164,1
4150101,1.55,9
4150302,1.59,1
4150304,0.52,1
4150305,0.845,2
4150307,1.11,1
5010005,8.09,1
5010009,0.85,1
5020005,1.56,2
5020006,1.16,1
5080001,2.1,3
5080002,2.05,2
5080003,0.915,16
5090202,1.83,2
5120101,4.37,15
5120103,2.31,9
5120104,2.185,15
5120106,1.819,15
5120107,1.39,15
5120108,2.69095,6
5120109,0.363,1
5120110,1.11295,6
5120111,4.02,41
5120112,3.949,1
5120114,0.762,3
5120115,0.988,1
5120201,3.397,47
5120202,5.3015,14
5120203,1.59135,16
5120204,1.205,10
5120206,1.72665,16
5120207,2.37585,22
5120208,2.04105,8
5120209,3.97,15
5140104,1.98,15
5140203,1.645,2
5140204,1.07,1
6020004,1.38,1
