HUC,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
1010001,2275217.419,648245.2535,2275217.419,648245.2535
1010002,2291678.373,633381.0755,2291678.373,633381.0755
1010003,2326598.36,691435.8907,2326598.36,691435.8907
1010004,2355114.771,655344.5156,2355114.771,655344.5156
1010005,2404993.521,637423.4362,2404993.521,637423.4362
1020001,2312274.821,550428.9597,2312274.821,550428.9597
1020002,2343348.507,587534.0319,2343348.507,587534.0319
1020003,2410958.193,575766.4189,2410958.193,575766.4189
1020004,2352878.33,497438.261,2352878.33,497438.261
1020005,2405569.907,483243.5069,2405569.907,483243.5069
1030001,2288936.305,502795.9021,2288936.305,502795.9021
1030002,2269845.665,453288.4551,2269845.665,453288.4551
1030003,2336551.996,416290.1995,2336551.996,416290.1995
1040001,2242553.944,395493.5756,2242553.944,395493.5756
1040002,2301595.27,358564.0237,2301595.27,358564.0237
1050001,2462513.583,543190.5126,2462513.583,543190.5126
1050002,2466813.777,465598.0688,2466813.777,465598.0688
1050003,2387554.667,363589.7102,2387554.667,363589.7102
1060001,2324860.719,308034.886,2324860.719,308034.886
1060002,2280358.876,291971.9373,2280358.876,291971.9373
1060003,2313722.67,225415.3244,2313722.67,225415.3244
1070001,2229334.506,264221.8786,2229334.506,264221.8786
1070002,2278905.515,196322.5928,2278905.515,196322.5928
1070003,2240048.289,187954.6378,2240048.289,187954.6378
1070004,2275901.865,127992.5622,2275901.865,127992.5622
1070005,2302487.091,118366.7664,2302487.091,118366.7664
1080101,2210233.691,351504.6015,2210233.691,351504.6015
1080102,2181035.757,333083.0325,2181035.757,333083.0325
1080103,2179581.456,275289.2826,2179581.456,275289.2826
1080104,2202262.278,211362.0135,2202262.278,211362.0135
1080105,2156896.137,244063.783,2156896.137,244063.783
1080106,2170897.438,220178.6972,2172761.931,206596.7106
1080107,2178122.597,163104.7573,2178122.597,163104.7573
1080201,2218055.081,117153.3682,2218055.081,117153.3682
1080202,2239602.404,125999.7779,2239602.404,125999.7779
1080203,2183254.01,117651.887,2183254.01,117651.887
1080204,2247736.453,89828.60266,2247736.453,89828.60266
1080205,2245042.344,14678.4768,2245042.344,14678.4768
1080206,2194898.756,67573.09791,2194898.756,67573.09791
1080207,2202809.931,28159.52013,2202809.931,28159.52013
1090001,2331886.377,129069.1311,2331886.377,129069.1311
1090002,2395392.134,73125.40566,2395392.134,73125.40566
1090003,2300085.366,80072.07588,2300085.366,80072.07588
1090004,2339962.927,63659.67424,2339962.927,63659.67424
1090005,2320592.539,13910.02674,2320592.539,13910.02674
1100001,2285074.468,51620.7769,2285074.468,51620.7769
1100002,2266751.951,35757.50935,2266751.951,35757.50935
1100003,2287335.154,-100.6527175,2287335.154,-100.6527175
1100004,2235999.073,-26280.00467,2235999.073,-26280.00467
1100005,2180540.892,7816.140764,2180540.892,7816.140764
1100006,2192920.485,-65461.06592,2192920.485,-65461.06592
1100007,2241802.938,-51819.19462,2241802.938,-51819.19462
1110000,2161333.116,361009.1305,2161333.116,361009.1305
2010001,2108696.662,198173.1894,2108696.662,198173.1894
2010002,2126445.429,228991.6715,2126445.429,228991.6715
2010003,2131939.793,287757.7614,2131939.793,287757.7614
2010004,2062923.313,268429.5449,2062923.313,268429.5449
2010005,2110387.695,321981.5827,2110387.695,321981.5827
2010006,2039709.602,294100.2751,2039709.602,294100.2751
2010007,2113612.877,349770.8724,2113612.877,349770.8724
2020001,2056626.646,197590.0243,2056626.646,197590.0243
2020002,2055047.921,144714.6466,2055047.921,144714.6466
2020003,2127938.114,129005.3754,2127938.114,129005.3754
2020004,2021123.497,106019.1691,2021123.497,106019.1691
