HUC_values,THG,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
10010001,0.64,-1011185.682,524584.0984,-1011185.682,524584.0984
10020007,0.92,-913708.8507,93566.9725,-894712.676,63505.28899
10030201,0.46,-947082.9497,445211.8936,-947082.9497,445211.8936
10070001,0.77,-813584.5327,14969.50637,-813584.5327,14969.50637
10080010,4.6,-631098.4489,10501.44447,-631098.4489,10501.44447
10090101,1.87,-543167.4165,14744.25436,-543167.4165,14744.25436
10100004,4.07,-349580.8442,262213.2503,-349580.8442,262213.2503
1010002,1.01,2291678.373,633381.0755,2291678.373,633381.0755
1010004,1.545,2355114.771,655344.5156,2355114.771,655344.5156
10110101,4.29,-182352.6214,340739.532,-182352.6214,340739.532
10120111,115.89,-224195.7091,-92049.95865,-224195.7091,-92049.95865
10120112,23.38,-142509.599,-54493.32297,-142509.599,-54493.32297
10120202,21.43,-273007.7681,-31297.48718,-273007.7681,-31297.48718
10130105,58.26,-38422.66498,-12054.59865,-38422.66498,-12054.59865
10130306,3.18,-122389.6737,27810.58308,-122389.6737,27810.58308
10190004,3.2646,-470697.4147,-566367.5742,-470697.4147,-566367.5742
10190005,1.25,-453579.8107,-531720.4697,-453579.8107,-531720.4697
10190006,1.075,-452140.5569,-496205.9147,-452140.5569,-496205.9147
10190007,1.21015,-447507.7104,-459863.8245,-447507.7104,-459863.8245
10190018,1.1401,-142729.5247,-433400.1201,-142729.5247,-433400.1201
1020001,3.185,2312274.821,550428.9597,2312274.821,550428.9597
1020002,1.5,2343348.507,587534.0319,2343348.507,587534.0319
1020004,2.815,2352878.33,497438.261,2352878.33,497438.261
1020005,1.475,2405569.907,483243.5069,2405569.907,483243.5069
10200203,5.8688,278306.9052,-438821.1044,278306.9052,-438821.1044
10210002,1.3081,-103103.4691,-353226.4368,-103103.4691,-353226.4368
10210003,4.2473,61497.51924,-391619.6347,61497.51924,-391619.6347
10210007,1.5976,93074.56865,-380306.9887,93074.56865,-380306.9887
10210008,2.4924,22889.86682,-314871.5248,22889.86682,-314871.5248
10210010,4.3558,114038.471,-356034.9163,114038.471,-356034.9163
10220003,2.6018,255331.503,-353051.2125,255331.503,-353051.2125
10270104,2.1041,414424.6496,-646454.0255,414424.6496,-646454.0255
1030002,5.89,2269845.665,453288.4551,2269845.665,453288.4551
1030003,2.04,2336551.996,416290.1995,2336551.996,416290.1995
10300101,4.3473,517970.6363,-623643.7504,517970.6363,-623643.7504
1040001,1.02,2242553.944,395493.5756,2242553.944,395493.5756
1040002,3.876800418,2301595.27,358564.0237,2301595.27,358564.0237
1050001,2.075,2462513.583,543190.5126,2462513.583,543190.5126
1050002,2.005,2466813.777,465598.0688,2466813.777,465598.0688
1050003,1.385,2387554.667,363589.7102,2387554.667,363589.7102
1060001,1.46,2324860.719,308034.886,2324860.719,308034.886
1060002,1.03,2280358.876,291971.9373,2280358.876,291971.9373
1060003,1.91,2313722.67,225415.3244,2313722.67,225415.3244
1070001,1.34,2229334.506,264221.8786,2229334.506,264221.8786
1070002,1.493186787,2278905.515,196322.5928,2278905.515,196322.5928
1070003,1.37,2240048.289,187954.6378,2240048.289,187954.6378
1070004,1.06,2275901.865,127992.5622,2275901.865,127992.5622
1070005,1.68,2302487.091,118366.7664,2302487.091,118366.7664
1080101,1.26,2210233.691,351504.6015,2210233.691,351504.6015
1080104,1.94,2202262.278,211362.0135,2202262.278,211362.0135
1080107,0.95,2178122.597,163104.7573,2178122.597,163104.7573
1080201,1.75,2218055.081,117153.3682,2218055.081,117153.3682
1080202,1.91,2239602.404,125999.7779,2239602.404,125999.7779
1080203,1.82,2183254.01,117651.887,2183254.01,117651.887
1090001,2.57,2331886.377,129069.1311,2331886.377,129069.1311
1090002,1.02,2395392.134,73125.40566,2395392.134,73125.40566
1090003,2.165,2300085.366,80072.07588,2300085.366,80072.07588
